model,mode,case,batch_size,prompt_len,decode_len,e2e_ms,gpu_busy_ms,gpu_bubble_ms,gpu_bubble_ratio,unhidden_launch_api_ms,unhidden_launch_api_pct,other_host_idle_ms,other_host_idle_pct,total_kernels,total_kernel_gpu_ms,launch_count,launch_overhead_ms,launch_overhead_pct
Qwen3.5-27B,cudagraph,bs8_p16_d512,8,16,512,10811.437019,10708.158125,103.278894,0.009552744359375896,7.982131,0.07383043517686147,95.296763,0.881444000760728,585133,12223.830713,11074,528.427231,4.887668772165466
Qwen3.5-27B,eager,bs16_p16_d128,16,16,128,6233.301368,2868.419609,3364.881759,0.5398233713316587,342.264576,5.490903708861073,3022.617183,48.491433424304795,145866,2881.713336,145866,704.585284,11.303565196079575
Qwen3.5-27B,eager,bs16_p16_d512,16,16,512,24535.774885,11431.788705,13103.98618,0.5340767202755496,1311.482352,5.345184157202949,11792.503828,48.06248787035201,583242,11485.923857,583242,2756.389194,11.234164019352512
Qwen3.5-27B,eager,bs1_p16_d0,1,16,0,125.435752,41.80714,83.628612,0.6667047525652814,8.522952,6.79467525335201,75.10566,59.875800003176124,2758,41.995076,2758,13.401567,10.684008973773283
Qwen3.5-27B,eager,bs1_p16_d128,1,16,128,5555.656582,2526.166439,3029.490143,0.5452983096211111,291.832387,5.252887443502533,2737.657756,49.276943518608576,125316,2539.593738,125316,594.893556,10.707889287603198
Qwen3.5-27B,eager,bs1_p16_d512,1,16,512,22268.239055,10057.712436,12210.526619,0.5483382223821739,1155.020004,5.186849311017512,11055.506615,49.646972927199876,501252,10113.217929,501252,2348.906957,10.54823846285496
Qwen3.5-27B,eager,bs1_p1k_d0,1,1024,0,137.985499,105.367459,32.61804,0.23638744822019306,2.806101,2.033620213961758,29.811939,21.605124608057547,2707,105.384963,2707,12.799486,9.275964570740872
Qwen3.5-27B,eager,bs1_p256_d0,1,256,0,127.729257,47.981547,79.74771,0.6243495959582698,7.817884,6.120668188025238,71.929826,56.31429140780174,2723,48.060298,2723,13.198968,10.333551067317334
Qwen3.5-27B,eager,bs1_p4k_d0,1,4096,0,405.749632,372.257376,33.492256,0.08254414387244595,3.112962,0.7672125257774726,30.379294,7.487201861467123,2659,372.13216,2659,84.756043,20.888754127077064
Qwen3.5-27B,eager,bs1_p8k_d0,1,8192,0,778.616674,742.290827,36.325847,0.046654339950598075,3.253125,0.4178082885494435,33.072722,4.247625706510364,2659,742.155147,2659,220.213403,28.28264669297334
Qwen3.5-27B,eager,bs1_p8k_d512,1,8192,512,18857.02742,10991.739885,7865.287535,0.41710113475562843,790.231755,4.190648596935645,7075.05578,37.5194648786272,502929,11053.865207,502929,2249.727428,11.930445758454542
Qwen3.5-27B,eager,bs4_p16_d128,4,16,128,6336.742299,2640.436813,3696.305486,0.5833132091521717,379.660044,5.99140735232225,3316.645442,52.339913562894914,145822,2652.692914,145822,691.576274,10.913750968050847
Qwen3.5-27B,eager,bs4_p16_d512,4,16,512,24395.689772,10513.907811,13881.781961,0.5690260079029504,1465.983297,6.009189781887509,12415.798664,50.89341100840754,583198,10567.317435,583198,2774.926655,11.374659544100716
Qwen3.5-27B,eager,bs8_p16_d128,8,16,128,6360.733801,2741.333018,3619.400783,0.5690225210228067,387.489697,6.091902430173716,3231.911086,50.81034967210696,145858,2753.701533,145858,713.476283,11.216886373830501
Qwen3.5-27B,eager,bs8_p16_d512,8,16,512,24558.328196,10914.723754,13643.604442,0.5555591705229445,1429.068939,5.819080711010138,12214.535503,49.73683634128431,583234,10967.835558,583234,2737.988801,11.148921779805667
